department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,pre6_4g_download_mbps_weighted,post6_4g_download_mbps_weighted,delta_4g_download_mbps_weighted,last_yearmonth_available,ubigeo,shape_department,shape_province,shape_district,region3,altitud_m,poblacion_distrito
Ancash,Yungay,Ranrahirca,MOVISTAR,202604,36,3,7.2857286666666665,8.002473066666667,0.7167444000000005,0.09837648817189915,0.0,0.622796,0.622796,,68.10207100000001,61.919014,-6.183057000000012,0.09985716180816473,43.11844349999999,88.19245799999999,45.0740145,0.9110408833333333,0.5543335233333333,-0.35670736000000003,0.6434887030736256,0.19305922661703778,878.8333333333334,2525.0,7.39452801822492,8.030491121452146,0.6359631032272262,202606,022006,ANCASH,YUNGAY,RANRAHIRCA,Sierra,2496,2657
Arequipa,Arequipa,Alto Selva Alegre,MOVISTAR,202410,21,21,9.7304185,11.324420166666668,1.5940016666666672,0.1638163524689782,3.44260285,3.24038155,-0.20222130000000016,-0.05874081583357782,80.06213833333334,62.73093433333333,-17.331204000000007,0.27627842920220513,95.42215083333332,97.25005633333332,1.8279055,0.7951904416666666,0.5466233316666667,-0.24856710999999998,0.4547319801409013,0.15126348317015098,34813.0,41680.666666666664,9.648586436163695,11.368410029446105,1.7198235932824097,202606,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,Sierra,2510,85870
Arequipa,Arequipa,Cayma,MOVISTAR,202411,22,20,9.984859,11.345640416666667,1.3607814166666667,0.13628449001299536,2.9847707333333333,3.3123795166666663,0.327608783333333,0.10976011647215067,78.12861916666667,61.916065833333334,-16.212553333333332,0.26184727849108747,96.76073350000001,97.45678166666666,0.6960481666666425,0.9113427083333333,0.6139771333333333,-0.29736557500000005,0.4843267914320806,0.16170004492039664,49935.833333333336,52061.666666666664,9.972784087422193,11.400857217677753,1.4280731302555605,202606,040103,AREQUIPA,AREQUIPA,CAYMA,Sierra,2531,91935
Arequipa,Arequipa,Jacobo Hunter,MOVISTAR,202410,21,21,9.244044749999999,10.061394,0.8173492500000012,0.08841900619314957,2.9341029833333336,2.7750973,-0.15900568333333354,-0.05419226395138066,80.4479675,63.72142450000001,-16.726542999999992,0.26249480659365965,95.86109183333332,97.83098966666667,1.9698978333333486,0.9469650249999999,0.6956240466666667,-0.25134097833333324,0.3613172654650514,0.11388317455622024,29204.666666666668,36424.166666666664,9.265909934351244,10.096436034109681,0.8305260997584369,202606,040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,Sierra,2309,50164
Arequipa,Arequipa,Mariano Melgar,MOVISTAR,202411,22,20,9.7935575,11.282756416666667,1.4891989166666662,0.15205903642947582,3.227813466666667,3.196436866666667,-0.031376599999999755,-0.009720698027944619,78.972289,62.534957,-16.437332000000005,0.26285029667486626,94.6520835,98.44067249999999,3.7885889999999875,0.75883555,0.4931445116666667,-0.26569103833333335,0.538769127603965,0.15769942391651345,34827.333333333336,27112.333333333332,9.817271399748282,11.29089043701206,1.4736190372637772,202606,040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,Sierra,2459,59918
Arequipa,Arequipa,Miraflores,MOVISTAR,202411,22,20,11.5843455,11.827727166666667,0.24338166666666794,0.021009531066443765,3.22142955,3.747218116666667,0.5257885666666673,0.1632159134650848,76.35474233333333,59.967533833333334,-16.3872085,0.27326800774473514,96.20951933333333,97.48066966666666,1.271150333333324,0.5756849633333334,0.4562229866666667,-0.11946197666666669,0.26184997283784384,0.11620242552441618,46821.166666666664,44179.333333333336,11.602068343348984,11.900158141582038,0.2980897982330539,202606,040110,AREQUIPA,AREQUIPA,MIRAFLORES,Sierra,2450,60589
Arequipa,Arequipa,Paucarpata,MOVISTAR,202411,22,20,9.478909166666666,10.119655250000001,0.6407460833333349,0.06759702747090035,3.4191594666666667,3.7462876166666668,0.32712815000000006,0.09567501989572791,78.43511416666666,61.59388716666666,-16.841227000000003,0.273423675216818,94.56112433333332,94.72270583333334,0.16158150000001115,0.8660901016666666,0.5903271366666667,-0.27576296499999986,0.4671358436224351,0.13334514720804558,58099.0,66640.66666666667,9.49506745655691,10.119078372465262,0.624010915908352,202606,040112,AREQUIPA,AREQUIPA,PAUCARPATA,Sierra,2453,131346
Arequipa,Arequipa,Sachaca,MOVISTAR,202410,21,21,9.195857833333333,10.607178499999998,1.411320666666665,0.1534735195177639,2.9009567,2.9424080999999997,0.041451399999999694,0.014288872357177684,78.60741483333334,62.29967716666667,-16.307737666666668,0.2617627957050168,93.95327816666668,97.33045983333334,3.377181666666658,0.8063779216666666,0.6733274216666666,-0.13305049999999996,0.19760148735761307,0.14391928445481705,16266.833333333334,11908.5,9.269390381092407,10.587479556297323,1.318089175204916,202606,040117,AREQUIPA,AREQUIPA,SACHACA,Sierra,2300,24225
Arequipa,Arequipa,Socabaya,MOVISTAR,202410,21,21,11.173927583333333,10.033349666666666,-1.1405779166666665,-0.10207493364892717,3.159668033333334,2.7168801000000005,-0.44278793333333333,-0.1401374855402795,79.85934,63.287896999999994,-16.57144300000001,0.26184221289577714,96.25646833333333,97.6973675,1.440899166666668,1.0054090666666669,0.699429,-0.3059800666666669,0.4374712324863095,0.027644867307646967,30803.5,35759.333333333336,11.31004387895856,10.092019218861276,-1.2180246600972833,202606,040122,AREQUIPA,AREQUIPA,SOCABAYA,Sierra,2352,75351
Arequipa,Arequipa,Tiabaya,MOVISTAR,202410,21,21,8.894516,10.487080166666667,1.5925641666666674,0.17905012107085616,3.3701685833333332,2.584116116666667,-0.7860524666666664,-0.2332383224251664,81.27061250000001,62.07049116666667,-19.200121333333342,0.3093276849022948,93.71401166666668,91.52014666666666,-2.1938650000000166,0.7576689183333333,0.551077535,-0.20659138333333327,0.3748862368946564,0.129419735634874,13106.5,12235.0,8.89625120410992,10.484668940893613,1.5884177367836934,202606,040123,AREQUIPA,AREQUIPA,TIABAYA,Costa,2218,16191
